Iter,Phi,Psi
0,-17.25708,1.4076996
0,-65.094185,73.69818
0,9.515152,-146.02925
0,-90.31713,120.85828
0,-0.41700745,-161.26547
0,112.37659,103.32703
0,-156.55316,-119.132996
0,-164.02028,145.49768
0,166.92535,161.29922
0,35.180542,-164.0884
0,106.02042,-148.08568
0,11.272079,-28.91333
0,-164.99739,-168.4094
0,111.137054,-133.34521
0,105.22363,-159.70767
0,-52.0007,60.35318
0,105.008514,-155.16881
0,-153.30397,-51.542038
0,-29.930664,-125.97505
0,50.120575,-45.41693
0,-67.19952,26.347626
0,3.3026123,-158.58443
0,9.656555,145.71399
0,-19.936523,18.73114
0,68.263824,-115.07557
0,-46.93306,66.4812
0,0.049331665,-141.57077
0,-140.82458,14.089264
0,47.973022,-155.3349
0,-135.06131,171.24573
0,-72.328735,143.12592
0,-66.21167,-162.68556
0,38.978165,60.314774
0,98.62518,135.85541
0,108.3689,-10.580414
0,1.3065491,44.733475
0,36.423767,-53.757767
0,-98.66751,126.75433
0,-72.97463,123.32318
0,106.36441,-76.42726
0,33.883423,147.27359
0,-23.173798,-124.698685
0,-134.30573,48.454865
0,159.89862,157.03735
0,-42.866974,14.9717865
0,-15.602936,129.31781
0,-79.46225,123.0766
0,-147.16988,-168.21657
0,104.51221,178.25934
0,-76.72092,110.05426
0,20.965347,140.83447
0,-27.0253,109.159515
0,85.18475,-108.82252
0,-37.09619,147.4975
0,-10.915054,-168.38109
0,109.8866,-129.91687
0,-42.525482,134.37543
0,-43.47574,-111.35038
0,153.78668,-42.10141
0,-94.30243,-169.56628
0,130.13016,139.17456
0,-61.500366,-168.45726
0,-175.5604,72.8858
0,-179.13077,146.12878
0,-116.53635,172.06552
0,-57.80327,112.9209
0,-24.163437,171.98425
0,138.74051,-7.127243
0,12.697128,-43.119843
0,140.57544,-116.98375
0,162.61584,-175.31232
0,-15.941681,5.0058136
0,-144.91847,-137.77544
0,-138.98701,63.55333
0,-75.914055,110.32202
0,84.612,-110.4656
0,31.27211,178.56339
0,-65.465004,170.7109
0,53.846313,-144.29347
0,-32.8273,99.63974
0,17.930298,-162.1428
0,-64.20328,-168.3907
0,43.884277,178.32669
