Iter,Phi,Psi,ClusterRank,ClusterLabel,ClusterPhi,ClusterPsi,Description
0,-4.0996246,164.71783,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,-38.690155,146.02536,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,-46.461624,177.33502,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,-31.848495,131.88116,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,-3.369278,154.3594,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,-42.082245,-173.38254,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,-30.21701,157.21463,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,0.6820221,163.10684,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,42.77417,-161.62097,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,-0.20822144,157.98563,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,22.761703,-130.84329,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,-16.441528,174.15991,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,-23.864197,179.10764,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,-6.4760437,-153.41191,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,13.072388,-156.48482,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,-32.22473,168.45667,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,-49.9227,159.673,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,3.2096405,-163.79404,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,16.513474,-139.36703,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,-4.657791,167.90625,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,-10.382065,-161.35658,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,18.26558,-164.08852,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,-42.25815,149.11157,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,14.32547,-156.55923,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,10.259964,162.01907,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,-15.208603,-145.59549,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,-3.328125,158.88571,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,32.091766,-147.50818,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,-25.074936,177.27023,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,13.078262,-136.82843,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,3.8279114,-135.01854,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,-18.15709,164.28851,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,-3.741623,162.4649,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,-18.014832,157.1175,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,-17.478088,158.23776,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,-14.975647,122.37088,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,-7.008438,-136.02763,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,5.12323,159.62436,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,-1.8858185,-134.8498,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,9.368088,-141.74364,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,0.887619,-133.1188,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,-52.09684,123.522064,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,33.341385,-133.60213,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,10.772766,-162.4741,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,-4.966919,-116.43921,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,10.852631,-124.177025,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,-52.279144,124.50314,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,-15.632553,-157.62962,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,-36.63623,163.01428,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,-25.774094,166.39731,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,0.21250916,-150.70183,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,-22.65863,155.19757,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,-19.941269,-174.45589,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,-7.720566,-159.3771,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,-3.1508636,176.2226,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,-0.13220215,-175.70958,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,32.68097,-157.62856,1.0,0,-6.994204500370705,177.6128508990647,Unknown
0,-1.914444,-174.86505,1.0,0,-6.994204500370705,177.6128508990647,Unknown
